feature,importance
Events,0.83147305
is_weekend,0.045873288
hour_cos,0.02488283
is_night,0.017700333
day_of_week,0.009178782
traffic_trend,0.0046184636
hour_sin,0.004303361
rolling_mean_6h,0.0042041754
lag_168h,0.0041880887
rolling_mean_3h,0.0036819049
rolling_mean_24h,0.003624078
day_of_year,0.0035832038
lag_2h,0.003554289
hour,0.0034440018
lag_24h,0.0034273402
rolling_std_3h,0.0033300105
lag_1h,0.0032023925
month_sin,0.0031250636
weather_Rain,0.0029533156
is_rush_hour,0.0028636435
weather_Cloudy,0.0027719117
dow_sin,0.0026208488
dow_cos,0.002576854
month_cos,0.0024218399
weather_Snow,0.0022824896
month,0.0020864268
weather_Clear,0.002027937
